index,title,url,site,category,language,course_type,subcategory,intro,duration_seconds,rating
73,Methods and Statistics in Social Sciences Specialization,https://www.coursera.org/specializations/social-science,Coursera,social sciences,English,Specialization,social sciences,"Critically Analyze Research and Results Using R. Learn to recognize sloppy science, perform solid research and do appropriate data analysis.",1440000,4.6
74,"NoSQL, Big Data, and Spark Foundations Specialization",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations,Coursera,information technology,English,Specialization,data engineering,"Springboard your Big Data career. Master fundamentals of NoSQL, Big Data, and Apache Spark with hands-on job-ready skills in machine learning and data engineering. ",576000,4.3
75,Think like a CFO Specialization,https://www.coursera.org/specializations/thinklikeacfo,Coursera,business,English,Specialization,finance,,864000,4.8
76,TensorFlow: Advanced Techniques Specialization,https://www.coursera.org/specializations/tensorflow-advanced-techniques,Coursera,data science,English,Specialization,machine learning,Expand your skill set and master TensorFlow. Customize your machine learning models through four hands-on courses! ,720000,4.8
77,"Data Engineering, Big Data, and Machine Learning on GCP Specialization",https://www.coursera.org/specializations/gcp-data-machine-learning,Coursera,data science,English,Specialization,machine learning,Data Engineering on Google Cloud. Launch your career in Data Engineering. Deliver business value with big data and machine learning.,576000,4.6
78,Mathematics for Machine Learning Specialization,https://www.coursera.org/specializations/mathematics-machine-learning,Coursera,data science,English,Specialization,machine learning, Mathematics for Machine Learning. Learn about the prerequisite mathematics for applications in data science and machine learning ,576000,4.6
79,Modern and Contemporary Art and Design Specialization,https://www.coursera.org/specializations/modern-contemporary-art-design,Coursera,arts and humanities,English,Specialization,arts,"Explore Art and Ideas of Our Time. Develop a deeper understanding of artists’ and designers’ processes, and gain confidence in looking at and talking about art.",1008000,4.8
80,Agile Development Specialization,https://www.coursera.org/specializations/agile-development,Coursera,computer science,English,Specialization,design,Drive to Value with Agile Methods . Master an adaptive approach to product development,576000,4.7
81,Career Success Specialization,https://www.coursera.org/specializations/career-success,Coursera,business,English,Specialization,business,Build Essential Skills for the Workplace. Improve your employability and advance in today’s dynamic workforce.,1584000,4.6
82,U.S. Federal Taxation Specialization,https://www.coursera.org/specializations/united-states-federal-taxation,Coursera,business,English,Specialization,business,U.S. Federal Taxation of Individuals & Businesses. Learners will develop knowledge in U.S. federal taxation as applied to individuals and businesses. ,1296000,4.8
83,The Business of Music Production Specialization,https://www.coursera.org/specializations/business-music-production,Coursera,arts and humanities,English,Specialization,arts,Become a Business-Savvy Music Producer. Gain the knowledge and skills you need to launch your career as a music producer.,576000,4.9
84,The Business of Health Care Specialization,https://www.coursera.org/specializations/healthcare-administration-management,Coursera,health,English,Specialization,health,Advance your career in health care management. Develop business skills and understand the American health care system to improve cost and quality.,576000,4.6
85,Practical Data Science on the AWS Cloud Specialization,https://www.coursera.org/specializations/practical-data-science,Coursera,data science,English,Specialization,machine learning,Become a cloud data science expert. Develop and scale your data science projects into the cloud using Amazon SageMaker,432000,4.6
86,Risk Management Specialization,https://www.coursera.org/specializations/risk-management,Coursera,business,English,Specialization,finance,Enhance Your Skills in Risk Management. Understand the theory and practice of risk management and the expected results from a successful risk management process.,864000,4.7
87,Music Production Specialization,https://www.coursera.org/specializations/music-production,Coursera,arts and humanities,English,Specialization,arts,Develop Your Creativity as a Music Producer . Learn the art and technology of music production to create professional music compositions.,720000,4.8
88,Google Cloud Database Engineer Specialization,https://www.coursera.org/specializations/google-cloud-database-engineer,Coursera,information technology,English,Specialization,cloud computing,Advance your cloud career in database engineering,1008000,4.7
89,Architecting with Google Compute Engine Specialization,https://www.coursera.org/specializations/gcp-architecture,Coursera,information technology,English,Specialization,cloud computing,"Launch your career in Cloud Architecture. Design, develop, and manage cloud solutions to drive business objectives.",720000,4.7
90,Global Procurement and Sourcing Specialization,https://www.coursera.org/specializations/procurement-sourcing,Coursera,business,English,Specialization,leadership and management,"Learn about Global Procurement and Sourcing. Reviews the key aspects of global procurement and sourcing, and the importance of procurement to the firm, its stakeholders, and suppliers. ",1008000,4.7
91,Entrepreneurship: Growing Your Business Specialization,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,Coursera,business,English,Specialization,business,,576000,4.8
92,Six Sigma Yellow Belt Specialization,https://www.coursera.org/specializations/six-sigma-fundamentals,Coursera,business,English,Specialization,leadership and management,Improve Your Career With Six Sigma Knowledge. Learn proven principles and tools to improve quality assurance in your organization,720000,4.7
93,The DIY Musician Specialization,https://www.coursera.org/specializations/diy-musician,Coursera,arts and humanities,English,Specialization,arts,"Write, Record, and Produce Your Own Music. Learn how to produce your own music and launch your music career.",720000,4.7
94,Algorithms Specialization,https://www.coursera.org/specializations/algorithms,Coursera,computer science,English,Specialization,computer science,Learn To Think Like A Computer Scientist. Master the fundamentals of the design and analysis of algorithms.,576000,4.8
95,"Influencing: Storytelling, Change Management and Governance Specialization",https://www.coursera.org/specializations/influencing-storytelling-change-management,Coursera,business,English,Specialization,leadership and management,,864000,4.7
96,Applied Data Science with R Specialization,https://www.coursera.org/specializations/applied-data-science-r,Coursera,data science,English,Specialization,data analysis,Build Your Data Science Skills with R & SQL. Master the ability to transform data into information and insights.,1008000,4.5
97,Geographic Information Systems  (GIS) Specialization,https://www.coursera.org/specializations/gis,Coursera,data science,English,Specialization,data analysis,"Map Your World With GIS. Explore the tools, concepts, and terminology of spatial analysis and modeling",864000,4.8
98,Decentralized Finance (DeFi): The Future of Finance Specialization,https://www.coursera.org/specializations/decentralized-finance-duke,Coursera,business,English,Specialization,finance,Learn more about decentralized finance.. Understand the infrastructure of decentralized finance and assess opportunities in this space as well as screen out ideas that are likely to fail.,576000,4.8
99,Project Management & Other Tools for Career Development Specialization,https://www.coursera.org/specializations/project-management-success,Coursera,business,English,Specialization,business,,864000,4.7
100,Project Management Principles and Practices Specialization,https://www.coursera.org/specializations/project-management,Coursera,business,English,Specialization,business,"Project Management Principles and Practices.  Work Better, Together",720000,4.7
101,Java Programming and Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/java-programming,Coursera,computer science,English,Specialization,software development,Explore a Career as a Software Engineer. Learn the basics of programming and software development,720000,4.6
102,MATLAB Programming for Engineers and Scientists Specialization,https://www.coursera.org/specializations/matlab-programming-engineers-scientists,Coursera,computer science,English,Specialization,software development,From Zero to MATLAB Hero in Three Courses.. Gain a solid foundation in computer programming and become a MATLAB expert.,864000,4.8
103,Design Thinking Specialization,https://www.coursera.org/specializations/uva-darden-design-thinking,Coursera,business,English,Specialization,leadership and management,Embark On Your Design Journey. Master core competencies and deepen your practice.,720000,4.8
104,Architecting with Google Kubernetes Engine Specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine,Coursera,information technology,English,Specialization,cloud computing,,576000,4.7
105,Security in Google Cloud Specialization,https://www.coursera.org/specializations/security-google-cloud-platform,Coursera,information technology,English,Specialization,security,"Launch your career in Cloud Security. This self-paced Specialization gives a broad study of security controls, best practices, and techniques on Google Cloud.",864000,4.7
106,Leading People and Teams Specialization,https://www.coursera.org/specializations/leading-teams,Coursera,business,English,Specialization,leadership and management,Leading Effectively. Learn proven management techniques in just four courses.,720000,4.8
107,Coding for Everyone: C and C++ Specialization,https://www.coursera.org/specializations/coding-for-everyone,Coursera,computer science,English,Specialization,software development,"Beginner to Programmer — Learn to Code in C & C++. Gain a deep understanding of computer programming by learning to code, debug, and solve complex problems with C and C++.",864000,4.4
108,Developing Applications with Google Cloud Specialization,https://www.coursera.org/specializations/developing-apps-gcp,Coursera,computer science,English,Specialization,software development,"Design, Develop, and Deploy Apps on Google Cloud. Build secure, scalable, and intelligent cloud-native applications. ",864000,4.7
109,Real-World Product Management Specialization,https://www.coursera.org/specializations/real-world-product-management,Coursera,computer science,English,Specialization,design,"Sponsored by AWS.. Is product management right for you? How do you get your first, or next, product management role? Learn from Nancy Wang, one of the youngest general managers and director of product and engineering at AWS, and 20 other real, full-time product leaders, including CEOs, who make hiring and promotion decisions across the industry! Learn from the same playbooks as Amazon, Google, Meta, Microsoft, and startups! Hone your skills with real-world projects and hundreds of real PM interview questions. ACE® approved—upon completion, you can earn up to 6 college credits.",576000,4.5
